   PID TTY          TIME CMD
 82371 pts/43   00:00:00 vim
 82414 pts/22   00:00:00 vim
 82428 pts/29   00:00:00 ps
 90910 ?        00:00:00 ssh-agent
 95287 ?        00:00:00 kworker/45:2
110840 ?        00:00:21 tmux
110841 pts/58   00:00:00 bash
118046 ?        00:00:00 kworker/43:1H
129033 ?        00:00:00 kworker/30:0
132021 ?        00:00:00 sh
132029 ?        00:00:04 node
135533 ?        00:00:00 kworker/42:2
135534 ?        00:00:00 kworker/25:2
135542 ?        00:00:00 kworker/43:1
140783 ?        00:00:00 sshd
140796 ?        00:00:03 sshd
140797 pts/12   00:00:00 bash
144904 ?        00:00:00 kworker/2:2
164093 ?        00:01:13 tmux
164094 pts/11   00:00:00 bash
164508 ?        00:00:01 kworker/16:0
179363 ?        00:00:00 kworker/46:1
179370 ?        00:00:00 kworker/38:2
179375 ?        00:00:00 kworker/28:0
179377 ?        00:00:00 kworker/24:2
179380 ?        00:00:00 kworker/44:0
179407 ?        00:00:00 kworker/37:1
185416 ?        00:00:00 kworker/25:1H
187068 ?        00:00:00 kworker/22:2
191347 ?        00:00:00 sshd
191357 ?        00:00:39 sshd
193649 ?        00:00:00 kworker/36:1
195630 ?        00:00:00 ssh-agent
214332 ?        00:00:00 sshd
214335 ?        00:00:00 sshd
216043 ?        00:00:00 kworker/35:1
218577 ?        00:00:00 sshd
218585 pts/0    00:00:00 zsh
219907 ?        00:10:09 tmux
219908 pts/5    00:00:00 bash
220047 pts/6    00:00:00 bash
224126 ?        00:00:00 sshd
224132 ?        00:00:00 sshd
224133 pts/15   00:00:00 bash
225510 ?        00:00:00 sshd
225574 ?        00:00:00 sshd
225575 pts/10   00:00:00 bash
240128 ?        00:00:00 kworker/6:0
242570 ?        00:00:04 python3
243959 ?        00:00:00 kworker/12:1
248710 ?        00:00:00 sh
248718 ?        00:00:42 node
248805 ?        00:10:42 node
248816 ?        00:00:01 node
248829 pts/14   00:00:00 bash
248935 ?        00:02:09 python3
252455 ?        00:00:08 tmux
252456 pts/17   00:00:00 bash
253223 ?        00:00:00 kworker/21:2
253682 ?        00:00:00 kworker/10:1
253760 ?        00:00:00 kworker/40:1
253772 ?        00:00:18 kworker/41:1
253837 ?        00:00:27 kworker/47:2
254699 ?        00:00:00 sshd
254719 ?        00:00:02 sshd
254720 pts/1    00:00:00 bash
256057 ?        00:00:00 ssh-agent
257643 ?        00:00:00 kworker/14:1
258560 pts/17   00:00:00 git
258561 pts/17   00:00:00 vi
264377 ?        00:00:00 sh
264385 ?        00:00:01 node
265683 ?        00:00:00 sshd
265692 ?        00:00:00 sshd
265693 pts/4    00:00:00 bash
274332 ?        00:00:00 sshd
274338 ?        00:00:17 sshd
274343 ?        00:00:00 sshd
274348 ?        00:00:11 sshd
276509 ?        00:00:00 sshd
276607 ?        00:00:00 sshd
276610 pts/34   00:00:00 bash
276817 ?        00:00:00 sshd
277147 ?        00:00:01 sshd
277151 pts/52   00:00:00 bash
277646 ?        00:00:00 python3
278467 ?        00:00:04 tmux
278468 pts/36   00:00:00 bash
